dataset,method,knn,seed,nmi
chameleon,dgc_struct,0,0,0.13745177563617764
chameleon,dgc_struct,0,1,0.08195933732904494
chameleon,dgc_struct,0,2,0.0750105562290966
chameleon,dgc_knn5,5,0,0.08910549133364984
chameleon,dgc_knn5,5,1,0.0894363143194389
chameleon,dgc_knn5,5,2,0.08176710769435475
actor,dgc_struct,0,0,0.003619347335338813
actor,dgc_knn5,5,0,0.007007911525659241
cora,dgc_struct,0,0,0.44096915825998956
cora,dgc_struct,0,1,0.46893426798471627
cora,dgc_struct,0,2,0.4001911162280446
cora,dgc_knn5,5,0,0.35241289809195514
cora,dgc_knn5,5,1,0.33422319165817915
cora,dgc_knn5,5,2,0.336884159325128
